name,brand,type,gender,age,budget,category,use_time,skin_types,skin_concerns,texture,fragrance_free,alcohol_free,ingredients,price,purchase_link,image_url,instructions
basis sensitiv Maschera Antirughe Q10,Lavera,faceMask,unisex,26-35,midRange,treatment,night;weekly,sensitive;dry;normal,dehydration;dryness;redness,mask,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-maschera-antirughe-q10,,Apply to face weekly for anti-aging benefits.
Maschera in tessuto rassodante,Lavera,sheetMask,unisex,36-45,midRange,treatment,night;weekly,mature;dry;normal,dullness;fine_lines;wrinkles,mask,false,false,hyaluronic_acid:Hydration;bakuchiol:Anti-aging;ceramides:Barrier Support,0,https://www.lavera.it/maschera-in-tessuto-rassodante,,Apply sheet mask to face and leave for 15 minutes.
Maschera in tessuto illuminante,Lavera,sheetMask,unisex,26-35,midRange,treatment,night;weekly,normal;dry;combination,dullness,mask,false,false,,0,https://www.lavera.it/maschera-in-tessuto-illuminante,,Apply sheet mask to brighten skin tone.
Maschera in tessuto purificante,Lavera,sheetMask,unisex,18-25,midRange,treatment,night;weekly,combination;oily,acne;blackheads;oiliness;pores,mask,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/maschera-in-tessuto-purificante,,Apply purifying sheet mask weekly.
basis sensitive balsamo per le labbra,Lavera,lipBalm,unisex,18-25,midRange,optional,morning;night,sensitive;dry;normal,dehydration;dryness;redness,balm,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-balsamo-per-le-labbra,,Apply lip balm as needed.
Repair balsamo per le labbra,Lavera,lipBalm,unisex,18-25,midRange,optional,morning;night,normal,dryness,balm,false,false,,0,https://www.lavera.it/repair-balsamo-per-le-labbra,,Apply repair lip balm whenever lips are dry.
Crema da Giorno Rassodante,Lavera,moisturizer,unisex,36-45,midRange,core,morning,mature;dry;normal,dullness;fine_lines;wrinkles,cream,false,false,hyaluronic_acid:Hydration;bakuchiol:Anti-aging;ceramides:Barrier Support,0,https://www.lavera.it/crema-da-giorno-rassodante,,Apply in the morning after cleansing.
PURE BEAUTY Detergente Peeling Maschera 3in1,Lavera,cleanser,unisex,18-25,midRange,core,morning;night,combination;oily,acne;blackheads;oiliness;pores,cream,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-3in1-wash-scrub-mask,,"Use as cleanser, scrub or mask depending on need."
Lozione Solare Sensitive SPF 30,Lavera,sunscreen,unisex,18-25,midRange,core,morning,oily;combination;dry;normal;sensitive;mature,hyperpigmentation;sun_damage,lotion,false,false,zinc_oxide_or_filters:Sun Protection,0,https://www.lavera.it/lozione-solare-sensitive-spf-30,,Apply generously before sun exposure.
MY AGE Trattamento giorno rassodante,Lavera,moisturizer,unisex,36-45,midRange,core,morning,mature;dry;normal,dullness;fine_lines;wrinkles,cream,false,false,hyaluronic_acid:Hydration;bakuchiol:Anti-aging;ceramides:Barrier Support,0,https://www.lavera.it/my-age-trattamento-giorno-rassodante,,Apply to cleansed face each morning.
